System Name,Managed State,Tags,IP address,User Name,Last Communication
OCS-L-001464210,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.144,N/A,3/11/20 4:33:55 PM EDT
OCS-L-001464218,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.86.71,N/A,3/11/20 4:34:18 PM EDT
OCS-L-001464254,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.86,N/A,3/10/20 10:46:12 AM EDT
OCS-L-001680661,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.124,joseph.berry.ou,3/11/20 3:29:27 PM EDT
OCS-L-004063546,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.188,"Dylan.Kosten,NRT.LA",3/6/20 11:03:33 AM EST
OCS-L-004063547,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.100,NRT.LA,3/11/20 2:39:09 PM EDT
OCS-L-004063548,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.34,michelle.levano,3/11/20 5:09:32 PM EDT
OCS-L-004063549,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.0.16,Michael.G.Bloom,3/11/20 4:34:55 PM EDT
OCS-L-004063551,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.14,N/A,3/11/20 4:22:57 PM EDT
OCS-L-004063552,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.20.10.7,John.Kidd,3/10/20 9:47:08 AM EDT
OCS-L-004063553,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.173,NRT.LA,2/21/20 10:18:46 AM EST
OCS-L-004063554,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.1.10.210,NRT.LA,3/11/20 4:32:48 PM EDT
OCS-L-004063555,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.55.26.209,N/A,3/11/20 10:40:03 AM EDT
OCS-L-004063556,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.5,NRT.LA,1/31/20 5:03:08 PM EST
OCS-L-004063557,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.21,N/A,3/1/20 11:58:46 PM EST
OCS-L-004063558,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.83.161.152,N/A,2/21/20 3:33:43 PM EST
OCS-L-004063559,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.89,N/A,3/11/20 4:33:27 PM EDT
OCS-L-004063560,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.1.10.225,NRT.LA,3/11/20 5:05:59 PM EDT
OCS-L-004063561,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.116,N/A,3/11/20 4:34:59 PM EDT
OCS-L-004063562,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.1.10.37,NRT.LA,3/11/20 2:33:41 PM EDT
OCS-L-004063563,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.0.165,NRT.LA,2/24/20 10:29:01 AM EST
OCS-L-004063564,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.0.49,NRT.LA,3/5/20 4:35:53 PM EST
OCS-L-004063565,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.6,Timothy.Wilkinson,3/10/20 11:29:03 AM EDT
OCS-L-004063566,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.188,Annemieke.Raymond,3/11/20 4:48:32 PM EDT
OCS-L-004063567,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.242,Alex.c.ligon,3/11/20 3:16:50 PM EDT
OCS-L-004063568,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.38,Eli.R.Smith,3/11/20 3:31:32 PM EDT
OCS-L-004063569,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.0.187,Dylan.Kosten,3/11/20 5:10:48 PM EDT
OCS-L-004063570,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.83.161.151,Dan.Jacobs,3/11/20 5:08:42 PM EDT
OCS-L-004063571,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.93,N/A,1/30/20 1:33:32 PM EST
OCS-L-004063585,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.74,Amber.Butler,3/11/20 4:27:10 PM EDT
OCS-L-004063586,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.211,Vanessa.L.Russell,3/11/20 4:22:17 PM EDT
OCS-L-004078526,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.82,Aleah.Worthem,3/11/20 4:33:11 PM EDT
OCS-L-004078527,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.201,MaryRose.Sheldon,3/11/20 3:03:38 PM EDT
OCS-L-004078528,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.30,N/A,3/2/20 8:33:20 PM EST
OCS-L-004078529,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.72,Delmy.Pinto,3/10/20 6:38:08 PM EDT
OCS-L-004078530,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.235,James.Moy,3/11/20 4:43:14 PM EDT
OCS-L-004078531,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.237,sydney.catoire,3/11/20 4:33:28 PM EDT
OCS-L-004086441,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.55.26.110,Kurt.Brown,3/11/20 4:03:27 PM EDT
OCS-L-004086442,Managed,"EEPC Apply, Laptop, Workstation",10.111.41.79,N/A,3/9/20 12:56:41 PM EDT
OCS-L-004086443,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.125,N/A,3/11/20 4:33:53 PM EDT
OCS-L-004086444,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.2,Cara.Curran,3/9/20 3:26:36 PM EDT
OCS-L-004086447,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.200.66,Erin.Nagel,3/11/20 2:05:33 PM EDT
OCS-L-004086449,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.72,N/A,3/11/20 4:33:34 PM EDT
OCS-L-004086450,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.127,N/A,3/11/20 4:47:02 PM EDT
OCS-L-004086452,Managed,"EEPC Apply, Laptop, Workstation",10.55.26.133,N/A,3/11/20 4:36:09 PM EDT
OCS-L-004086453,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.134,N/A,3/5/20 5:12:15 PM EST
